Schema,Object Type,Object Name,Parent Object Type,Parent Object Name,Row Count,Comment,Data Type,Length,Primary Key,Precision,Scale,Nulls Allowed,Columns,Code,Unique,Foreign Key Name,Reference Model,Reference Table,Reference Column
EDA,Column,IndividualId,Table,Contact,,,reference,18.0,,,,True,,,,Individual,EDA,Individual,Id
EDA,Column,IsDeleted,Table,Contact,,,boolean,0.0,,,,False,,,,,,,
EDA,Column,IsEmailBounced,Table,Contact,,,boolean,0.0,,,,False,,,,,,,
EDA,Column,Jigsaw,Table,Contact,,,string,20.0,,,,True,,,,,,,
EDA,Column,JigsawContactId,Table,Contact,,,string,20.0,,,,True,,,,JigsawContact,,,
EDA,Column,LastActivityDate,Table,Contact,,,date,0.0,,,,True,,,,,,,
EDA,Column,LastCURequestDate,Table,Contact,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,LastCUUpdateDate,Table,Contact,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,LastModifiedById,Table,Contact,,,reference,18.0,,,,False,,,,LastModifiedBy,EDA,User,Id
EDA,Column,LastModifiedDate,Table,Contact,,,datetime,0.0,,,,False,,,,,,,
EDA,Column,LastName,Table,Contact,,,string,80.0,,,,False,,,,,,,
EDA,Column,LastReferencedDate,Table,Contact,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,LastViewedDate,Table,Contact,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,LeadSource,Table,Contact,,Picklist Items: Web - Web/Phone Inquiry - Phone Inquiry/Partner Referral - Partner Referral/Purchased List - Purchased List/Other - Other,picklist,255.0,,,,True,,,,,,,
EDA,Column,MailingAddress,Table,Contact,,,address,0.0,,,,True,,,,,,,
EDA,Column,MailingCity,Table,Contact,,,string,40.0,,,,True,,,,,,,
EDA,Column,MailingCountry,Table,Contact,,,string,80.0,,,,True,,,,,,,
EDA,Column,MailingGeocodeAccuracy,Table,Contact,,Picklist Items: Address - Address/NearAddress - NearAddress/Block - Block/Street - Street/ExtendedZip - ExtendedZip/Zip - Zip/Neighborhood - Neighborhood/City - City/County - County/State - State/Unknown - Unknown,picklist,40.0,,,,True,,,,,,,
EDA,Column,MailingLatitude,Table,Contact,,,double,0.0,,,,True,,,,,,,
